Acacia
Acrocarpus
Adansonia
Afrocarpus
Agathis
Albizia
Alphitonia
Antidesma
Araucaria
Artocarpus
Attalea
Barringtonia
Bertholletia
Bucida
Caesalpinia
Calophyllum
Canarium
Capparis
Cassia
Casuarina
Cavanillesia
Ceiba
Citrus
Cocos
Cordia
Couroupita
Cyrtostachys
Delonix
Durio
Elaeodendron
Enterolobium
Erythrina
Eucalyptus
Eugenia
Fagraea
Ficus
Fraxinus
Garcinia
Gardenia
Gigasiphon
Ginkgo
Guazuma
Hernandia
Hibiscus
Hura
Hydnocarpus
Hymenaea
Hyphaene
Jacaranda
Juniperus
Kigelia
Lagerstroemia
Lagunaria
Litchi
Lonchocarpus
Macadamia
Mammea
Mangifera
Manilkara
Melicope
Metrosideros
Mimusops
Olea
Phoenix
Phyllanthus
Pithecellobium
Pittosporum
Plumeria
Pouteria
Pritchardia
Prosopis
Pseudobombax
Psychotria
Pterocarpus
Pterygota
Reynoldsia
Roseodendron
Roystonea
Schinus
Schizolobium
Schotia
Spondias
Sterculia
Swietenia
Syzygium
Tamarindus
Tectona
Terminalia
Tetraplasadra
Wallaceodendron
Washingtonia
